         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.030    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:287(draw)
        2    0.000    0.000    0.003    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/igraph/drawing/metamagic.py:203(__init__)
       92    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/operation.py:123(adition)
     1830    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/copy.py:172(_deepcopy_atomic)
       79    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1359(set_dash_joinstyle)
       86    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1214(set_rotation)
      541    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/enum.py:1129(__new__)
      448    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/copyreg.py:98(__newobj__)
      169    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1192(set_x)
    29/28    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/configparser.py:743(get)
       87    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/_api/__init__.py:132(check_shape)
       79    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1423(set_solid_capstyle)
      772    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1145(score_style)
      449    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       79    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1375(set_solid_joinstyle)
       74    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1095(set_fontsize)
     1027    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/objects.py:21(__init__)
       18    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1418(__sub__)
       55    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:317(ymax)
      109    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:762(set_weight)
      225    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1872(inverted)
       50    0.000    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1183(set_marker)
       81    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/path.py:162(_fast_from_codes_and_verts)
      146    0.000    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:615(_from_any)
       10    0.000    0.000    0.009    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/offsetbox.py:794(get_bbox)
       79    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1053(set_color)
       10    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/cycler.py:364(by_key)
       10    0.000    0.000    0.029    0.003 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1311(_get_ticklabel_bboxes)
       18    0.000    0.000    0.012    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:2142(tick_values)
       53    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2668(__init__)
      100    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:788(set_stretch)
        8    0.000    0.000    0.004    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/spines.py:35(__init__)
       67    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
       79    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1123(set_linewidth)
      772    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1162(score_variant)
       20    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:482(anchored)
      289    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:281(convert_yunits)
        7    0.000    0.000    0.056    0.008 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1974(draw)
       75    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:572(__call__)
        4    0.000    0.000    0.005    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:647(__init__)
       13    0.000    0.000    0.007    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:579(draw)
        1    0.000    0.000    0.008    0.008 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/legend.py:854(_init_legend_box)
       53    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:307(ymin)
       42    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
      6/4    0.000    0.000    0.012    0.003 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/offsetbox.py:473(_get_bbox_and_child_offsets)
       26    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:396(set_linestyle)
      100    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:872(set_math_fontfamily)
       14    0.000    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1457(_get_xy)
       25    0.000    0.000    0.116    0.005 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1555(_get_tick)
      107    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2222(transform_non_affine)
        7    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.018    0.009 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backend_bases.py:2645(__init__)
        1    0.000    0.000    0.003    0.003 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/igraph/drawing/matplotlib/edge.py:133(_compute_paths)
     1348    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
       37    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:314(_set_edgecolor)
      250    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/cbook.py:1337(_to_unmasked_float_array)
      133    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/threading.py:302(__exit__)
       40    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2190(__init__)
       15    0.000    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:699(set_locs)
        2    0.000    0.000    0.463    0.231 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_base.py:3005(draw)
        6    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/igraph/drawing/matplotlib/edge.py:370(_compute_path_undirected)
       53    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backend_bases.py:934(set_clip_path)
        2    0.000    0.000    0.005    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/collections.py:1858(__init__)
       42    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
       77    0.000    0.000    0.009    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:1201(update)
       10    0.000    0.000    0.022    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/pyplot.py:270(_get_backend_mod)
       46    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:302(xmin)
      2/1    0.000    0.000    0.021    0.021 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/pyplot.py:284(switch_backend)
      125    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:338(_set_artist_props)
       88    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1758(convert_units)
        2    0.000    0.000    0.160    0.080 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/collections.py:346(draw)
        2    0.000    0.000    0.005    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/legend.py:1160(_find_best_position)
       12    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:569(count_contains)
       46    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:312(xmax)
       50    0.000    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:1229(_cm_set)
        2    0.000    0.000    0.002    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/collections.py:77(__init__)
      245    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/weakref.py:451(get)
       17    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/.vscode/extensions/ms-python.debugpy-2024.6.0-darwin-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_utils.py:133(get_non_pydevd_threads)
      130    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:463(transformed)
      145    0.000    0.000    0.000    0.000 {built-in method math.log}
       79    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1241(set_markeredgewidth)
       42    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/path.py:470(cleaned)
        2    0.000    0.000    0.000    0.000 {method '_raise' of '_macosx.FigureManager' objects}
      193    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:450(get_transform)
        4    0.000    0.000    0.041    0.010 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:882(clear)
       88    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1094(get_default_size)
      113    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/scale.py:115(get_transform)
      301    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:298(axes)
       36    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/cbook.py:2206(_g_sig_digits)
       88    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/units.py:56(_is_natively_supported)
       60    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:42(get_hinting_flag)
        1    0.000    0.000    0.011    0.011 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_axes.py:204(legend)
       16    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1043(_translate_tick_params)
       39    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:734(get_path)
       53    0.000    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backend_bases.py:690(new_gc)
       79    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1221(set_markerfacecolor)
        1    0.000    0.000    0.273    0.273 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/pyplot.py:1459(subplots)
        2    0.000    0.000    0.467    0.234 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/figure.py:3134(draw)
        8    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1867(_set_formatter)
      702    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2416(_all_dispatcher)
       81    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:732(set_transform)
        9    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:708(_compute_offset)
    21/14    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1466(_get_xy_transform)
      672    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/function_base.py:5559(_append_dispatcher)
       46    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:33(seterr)
      152    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.002    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_base.py:401(_plot_args)
       36    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:381(set_linewidth)
       13    0.000    0.000    0.030    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1576(_copy_tick_props)
        2    0.000    0.000    0.149    0.074 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/figure.py:658(add_subplot)
        9    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/colors.py:409(to_rgba_array)
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       26    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:342(update_from)
      358    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      120    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:33(_get_dash_pattern)
       82    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/threading.py:311(_acquire_restore)
       18    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2282(__init__)
       18    0.000    0.000    0.023    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_base.py:3935(format_coord)
      100    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:284(get_rotation)
       20    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/pathlib.py:437(__str__)
       37    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:340(_set_facecolor)
       46    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:890(get_unitless_position)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        3    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       31    0.000    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1029(get_path)
      674    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/numeric.py:337(_full_like_dispatcher)
      147    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/queue.py:209(_qsize)
      677    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/linalg/linalg.py:488(_unary_dispatcher)
       86    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:298(set_rotation_mode)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      690    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1877(_nonzero_dispatcher)
       53    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:923(_set_gc_clip)
      336    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/type_check.py:166(imag)
      520    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       36    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       79    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1256(set_markersize)
       35    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:114(_process_radius)
        2    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/gridspec.py:144(get_grid_positions)
     66/5    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2377(_invalidate_internal)
        2    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_base.py:873(_set_lim_and_transforms)
        4    0.000    0.000    0.035    0.009 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/scale.py:103(set_default_locators_and_formatters)
        2    0.000    0.000    0.044    0.022 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/_pylab_helpers.py:44(destroy)
      398    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_base.py:837(<genexpr>)
       11    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_base.py:2516(_process_unit_info)
       80    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:341(intervaly)
      458    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/multiarray.py:741(dot)
       38    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/weakref.py:46(__new__)
       84    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:252(y0)
        1    0.000    0.000    0.004    0.004 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/igraph/drawing/matplotlib/graph.py:290(_draw_vertex_labels)
       50    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/_collections_abc.py:911(__iter__)
       53    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:794(unit)
      602    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1809(get_affine)
        2    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/figure.py:215(_get_draw_artists)
        6    0.000    0.000    0.005    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:393(get_renderer)
       18    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1564(_get_tick_label_size)
      756    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/bezier.py:242(degree)
       35    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/posixpath.py:71(join)
       20    0.000    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/offsetbox.py:1086(_get_anchored_bbox)
       17    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/colors.py:310(_to_rgba_no_colorcycle)
       50    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:1041(set_fontfamily)
        2    0.000    0.000    0.002    0.001 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/genetic.py:18(generate_population)
       22    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1612(transform_path_non_affine)
        4    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:2013(_validate_steps)
       19    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2731(__init__)
       16    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1800(transform_path_affine)
       79    0.000    0.000    0.001    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1231(set_markerfacecoloralt)
        5    0.000    0.000    0.000    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/linalg/linalg.py:492(inv)
        2    0.000    0.000    0.005    0.003 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axes/_axes.py:1479(plot)
