         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5081    0.008    0.000    0.012    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
      420    0.008    0.000    0.011    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/bezier.py:199(__init__)
      672    0.008    0.000    0.012    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/shape_base.py:292(hstack)
     1139    0.008    0.000    0.069    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/objects.py:70(delete_line)
  382/226    0.008    0.000    0.014    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2431(get_affine)
       79    0.008    0.000    0.044    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:287(__init__)
      672    0.008    0.000    0.010    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/function_base.py:5563(append)
      204    0.007    0.000    0.402    0.002 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/genetic.py:57(min_fit)
   164/41    0.007    0.000    0.026    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/copy.py:217(_deepcopy_dict)
1128/1126    0.007    0.000    0.051    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/cbook.py:285(process)
      772    0.007    0.000    0.014    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1115(score_family)
5666/5043    0.007    0.000    0.012    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:317(stale)
       75    0.007    0.000    0.075    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:358(_get_layout)
    14433    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      772    0.006    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1173(score_stretch)
      462    0.006    0.000    0.020    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/path.py:347(iter_segments)
     7340    0.006    0.000    0.010    0.000 {built-in method builtins.getattr}
     1432    0.006    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1769(__init__)
      462    0.006    0.000    0.038    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/path.py:413(iter_bezier)
      407    0.006    0.000    0.041    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/operation.py:61(is_in)
      420    0.006    0.000    0.012    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/bezier.py:208(__call__)
      840    0.006    0.000    0.006    0.000 {method 'outer' of 'numpy.ufunc' objects}
     1102    0.006    0.000    0.007    0.000 {built-in method builtins.any}
